GEN=> 158
-103.505 violations=> 7
-102.402 violations=> 7
-113.179 violations=> 7
-103.821 violations=> 7
-101.05 violations=> 7
-103.309 violations=> 7
-104.101 violations=> 7
-104.092 violations=> 7
-104.222 violations=> 7
-104.092 violations=> 7
-104.092 violations=> 7
-104.092 violations=> 7
-102.402 violations=> 7
-101.05 violations=> 7
-104.092 violations=> 7
-104.17 violations=> 7
-103.6 violations=> 7
-104.176 violations=> 7
-103.936 violations=> 7
-103.821 violations=> 7
-104.092 violations=> 7
-102.925 violations=> 8
-103.821 violations=> 7
-103.505 violations=> 7
-103.967 violations=> 7
-103.505 violations=> 7
-101.05 violations=> 7
-101.038 violations=> 7
-104.176 violations=> 7
-103.505 violations=> 7
-103.19 violations=> 8
-103.936 violations=> 7
-102.402 violations=> 7
-103.967 violations=> 7
-104.176 violations=> 7
-101.386 violations=> 8
-103.06 violations=> 8
-104.176 violations=> 7
-101.543 violations=> 7
-104.092 violations=> 7
-103.967 violations=> 7
-103.821 violations=> 7
-104.092 violations=> 7
-103.936 violations=> 7
-102.97 violations=> 7
-103.976 violations=> 7
-101.278 violations=> 7
-104.092 violations=> 7
-101.5 violations=> 7
-101.044 violations=> 7
